image_filename,# objects,X1 3D,Y1 3D,Z1 3D,X1 Obj Center 2D,Y1 Obj Center 2D
131,2,3.625,1.5,17.813,968.9177471433429,521.2518687016141
131,2,-0.0625,1.5,12.313,1287.0066737456848,516.740512716947
132,2,3.625,1.5,17.813,968.5781896278685,520.2406912470447
132,2,-0.0625,1.5,12.313,1283.2792195699012,516.1793707638396
133,2,3.5,1.5,17.938,968.3887125894014,519.6915067466902
133,2,-0.0,1.5,12.5,1284.0255505831474,515.32926003284
139,2,3.625,1.5,19.063,968.4382105113715,528.3760603786355
139,2,-0.0,1.5,12.75,1269.7370827775976,514.9722264079206
140,2,3.625,1.5,19.063,968.8142111909782,530.3868283333034
140,2,-0.0,1.5,12.75,1267.5344911474863,515.6293621693696
141,2,3.625,1.5,19.313,968.9269294606567,531.0115802581171
141,2,-0.0,1.5,12.813,1266.456393906315,515.8438201154993
142,2,3.625,1.5,19.313,968.6353782029415,531.2179432257766
142,2,-0.0,1.5,12.813,1264.4365930246904,515.7877233943641
143,2,3.625,1.5,19.313,968.1947897764737,533.2684230436204
143,2,-0.0,1.5,12.813,1263.2590817644214,515.940310598794
144,2,3.625,1.5,19.313,968.0322272433091,536.0022894913003
144,2,-0.0,1.5,12.813,1262.7930705201745,515.969390346618
145,2,3.5625,1.5,19.375,968.6334894216268,538.31804763891
145,2,-0.0,1.5,12.813,1262.6598764021683,515.3186207053192
146,2,3.5625,1.5,19.375,968.5366101382049,538.5008821205464
146,2,-0.0,1.5,12.813,1262.0153592908996,515.0753120697494
147,2,3.5625,1.5,19.875,967.5113620683319,532.5880316845323
147,2,-0.0,1.5,12.875,1261.1680313853162,514.3272053014875
148,2,3.5625,1.5,19.875,967.3690562198044,532.8704484808549
148,2,-0.0,1.5,12.875,1260.244813302737,512.7262159201994
149,2,3.5625,1.5,19.875,967.441677492046,527.5267103709182
149,2,-0.0,1.5,12.875,1259.9571301181686,508.1379283656306
150,2,3.5625,1.5,19.875,967.4445242964885,525.0007762639575
150,2,-0.0,1.5,12.875,1251.8021317088223,504.39722646091354
151,2,3.5625,1.5,19.938,967.1104672179002,520.0892749467232
151,2,-0.0,1.5,12.875,1248.2262325245706,501.04956986156793
152,2,3.5625,1.5,19.938,967.3310912989273,516.2917647926793
152,2,-0.0,1.5,12.875,1247.0104573554875,495.8042443671666
153,2,3.5625,1.5,19.938,967.242302292321,514.8605562587454
153,2,-0.0,1.5,12.875,1245.6303255400032,493.9631320390587
154,2,3.5625,1.5,20.375,969.8291725585591,517.8833225014847
154,2,0.0625,1.5,12.813,1245.530840758593,492.68475827249404
155,2,3.5625,1.5,20.375,970.0640555468362,516.9909071224785
155,2,0.0625,1.5,12.813,1243.911232744841,490.9514190834069
156,2,3.5625,1.5,20.375,970.8331595702156,516.0234393211355
156,2,0.0625,1.5,12.813,1244.725822299387,489.71393427557445
157,2,3.5,1.5,20.5,970.7075241664313,516.3710410852557
157,2,0.0625,1.5,12.75,1243.7532084279826,489.3244631003811
