image_filename,# objects,X1 3D,Y1 3D,Z1 3D,........,Xn 3D,Yn 3D,Zn 3D,X1 Obj Center 2D,Y1 Obj Center 2D,........,Xn Obj Center 2D,Yn Obj Center 2D
000000.png
000001.png
